Código funcionário;Nome Funcionário;Código cliente;Nome cliente;Data do emprestiomo;Data da entraga 
0;Novo Funcionario_1;200;Lucas;11/12/2022;null
;;:ITEMS DO EMPRESTIMO:;; 
código;título;tipo;data-devolução
301;JAVA;L;null
300;A casa;L;null

0;Novo Funcionario_1;201;Aluno_1;12/12/2022;null
;;:ITEMS DO EMPRESTIMO:;; 
303;PYTHON ;L;null
302;JAVA INICIANTE;L;null
300;A casa;L;null

0;Novo Funcionario_1;201;Aluno_1;12/12/2022;null
;;:ITEMS DO EMPRESTIMO:;; 
300;A casa;L;null
301;JAVA;L;null
304;LOGICA P/ INICIANTE;L;null

0;Novo Funcionario_1;202;Caio;12/12/2022;null
;;:ITEMS DO EMPRESTIMO:;; 
304;LOGICA P/ INICIANTE;L;18/12/2022
303;PYTHON ;L;null

Total De Emprestimos:4
